feature_name,true_mean,false_mean,delta,abs_delta,true_std,false_std,single_feature_auroc
L20_H00_last_to_non_anchor_mass,-0.005452269393840345,0.005308788620318221,-0.010761058014158567,0.010761058014158567,0.1316277081343217,0.1730562900150474,0.5260824146514936
L20_H00_last_to_anchor_mass,0.005452269393840169,-0.005308788620318396,0.010761058014158564,0.010761058014158564,0.1316277081343217,0.17305629001504744,0.47391758534850636
L13_H04_tail_to_relation_mass,-0.0054384158225620005,0.005295299616705107,-0.010733715439267107,0.010733715439267107,0.0961115758623442,0.0975286274263408,0.4677831614509246
L20_H08_max_attention_last,0.005426842246813132,-0.0052840306087391055,0.010710872855552236,0.010710872855552236,0.15275967162665807,0.15072292872145804,0.5230596550497866
L17_H08_attention_sink_mass,-0.005419571097038256,0.005276950805011151,-0.010696521902049408,0.010696521902049408,0.09612415242249513,0.09656973640227902,0.46220439189189194
L17_H08_attention_entropy_last,-0.005397755577154938,0.005255709377755385,-0.010653464954910322,0.010653464954910322,0.3380383862999457,0.3300742417923,0.4878422830725462
L14_H02_last_to_subject_mass_norm,-0.005393675720407902,0.0052517368856602265,-0.01064541260606813,0.01064541260606813,0.16252591626736576,0.15447934618694156,0.4583592638691323
L17_H10_max_attention_last,0.005387489982352234,-0.0052457139301850765,0.01063320391253731,0.01063320391253731,0.08433623322734428,0.10156574101672454,0.5197812944523471
L13_H04_last_to_tail_mass,-0.005385842586400019,0.005244109886757837,-0.010629952473157855,0.010629952473157855,0.14198941099582416,0.135698925764582,0.4706058854907539
L19_H06_last_to_tail_mass,-0.00538289127343533,0.0052412362399238835,-0.010624127513359213,0.010624127513359213,0.07686023327218132,0.07962009550401662,0.45490309388335703
L13_H01_attention_sink_mass,-0.005376278931796047,0.005234797907275068,-0.010611076839071115,0.010611076839071115,0.08635144306540596,0.09833767555578907,0.47888513513513514
L15_H03_last_to_tail_mass,-0.005371614127217836,0.005230255860712063,-0.0106018699879299,0.0106018699879299,0.03258416687397319,0.04283744252687723,0.43418830014224746
L20_H01_top3_attention_mass_last,-0.0053578528750023585,0.005216856746712861,-0.010574709621715219,0.010574709621715219,0.08281738192565456,0.08361984032730696,0.4596928342816501
L16_H07_top3_attention_mass_last,0.005357265780165923,-0.005216285101740458,0.010573550881906382,0.010573550881906382,0.12123190124109866,0.1289330093387793,0.5229151849217639
L20_H05_last_to_subject_mass,0.0053508552236227564,-0.0052100432440538,0.010560898467676556,0.010560898467676556,0.05498053281720189,0.05435758507504006,0.5653894025604551
L13_H10_top3_attention_mass_last,-0.005312672113417788,0.0051728649525383434,-0.010485537065956133,0.010485537065956133,0.06897297870419636,0.05018419461366685,0.47066145092460887
L19_H04_attention_sink_mass,-0.005303892303713826,0.005164316190458341,-0.010468208494172168,0.010468208494172168,0.12160430864150935,0.11501085212067463,0.4658383712660028
L18_H10_last_to_subject_mass,-0.005294821073426878,0.005155483676757428,-0.010450304750184306,0.010450304750184306,0.09188476473090981,0.07301660632784039,0.4880978840682788
L17_H03_last_to_tail_mass,0.005286118491916529,-0.005147010110550481,0.01043312860246701,0.01043312860246701,0.13139355131540698,0.12966708129495483,0.5232596906116642
L19_H00_last_to_subject_mass_norm,-0.005275825186454366,0.005136987681547742,-0.010412812868002108,0.010412812868002108,0.1500362809554258,0.14107795222623712,0.4569590149359886
L18_H01_last_to_tail_mass,0.005233843500129908,-0.00509611077644251,0.010329954276572418,0.010329954276572418,0.07963969336882264,0.0775709707930538,0.5346172652916075
L17_H02_last_to_tail_mass_norm,-0.005233707970047895,0.005095978812941395,-0.010329686782989289,0.010329686782989289,0.03511939571932052,0.0455791954415183,0.43559966216216217
L18_H07_max_attention_last,0.005217685371111579,-0.005080377861345332,0.010298063232456911,0.010298063232456911,0.14622863706031705,0.13708990292469098,0.5251155761024182
L14_H06_last_to_relation_mass_norm,-0.0052169993829229684,0.005079709925477616,-0.010296709308400584,0.010296709308400584,0.022031759144544874,0.04448583934630629,0.43993376600284495
L14_H06_last_to_relation_mass,-0.005213081337104807,0.00507589498612836,-0.010288976323233168,0.010288976323233168,0.022025335208727834,0.04448549428349736,0.44027827169274536
L15_H00_last_to_subject_mass,0.00520855904862557,-0.005071491705240666,0.010280050753866236,0.010280050753866236,0.12708343883064613,0.12624240013974483,0.5237486664295875
L14_H06_last_to_subject_mass_norm,-0.005170340557666421,0.005034278964043737,-0.010204619521710158,0.010204619521710158,0.13789484781437847,0.1398265513769515,0.46419363442389755
L19_H01_top3_attention_mass_last,0.005127605985699721,-0.004992668986075962,0.010120274971775683,0.010120274971775683,0.059403567757587886,0.05872875463057013,0.5599995554765291
L20_H01_last_to_tail_mass,0.005116492443350862,-0.0049818479053678946,0.010098340348718756,0.010098340348718756,0.12643079090864093,0.11337221450558352,0.5221594950213371
L13_H09_last_to_relation_mass_norm,-0.005055094110794829,0.004922065318405482,-0.00997715942920031,0.00997715942920031,0.04430879448901044,0.052141224591872024,0.45434743954480794
L13_H09_last_to_relation_mass,-0.005052621241698283,0.004919657524811472,-0.009972278766509756,0.009972278766509756,0.04430527458093343,0.05214104274164684,0.4546808321479374
L20_H05_last_to_subject_mass_norm,-0.005050067945139995,0.0049171714202677205,-0.009967239365407716,0.009967239365407716,0.15509626290830816,0.1449131921600052,0.4630045341394026
L19_H05_top3_attention_mass_last,0.005036700137007242,-0.004904155396559625,0.009940855533566866,0.009940855533566866,0.15048973670719462,0.14728858570600648,0.5197701813655761
L20_H09_last_to_relation_mass,0.005031307788910919,-0.0048989049523606,0.009930212741271519,0.009930212741271519,0.12232585207702641,0.12227911224686157,0.526449146514936
L20_H09_last_to_relation_mass_norm,0.0050288162677202455,-0.004896478997517067,0.009925295265237312,0.009925295265237312,0.12233105578346545,0.12227912498825402,0.5264046941678521
L19_H07_last_to_tail_mass,-0.004999017145576673,0.00486746406279831,-0.009866481208374984,0.009866481208374984,0.05677587901635771,0.06464720252378753,0.456736753200569
L20_H11_max_attention_last,0.0049772474898824,-0.004846267292780245,0.009823514782662645,0.009823514782662645,0.24512575005025997,0.2238960598756557,0.48986486486486486
L20_H03_last_to_subject_mass_norm,-0.0049675395093986925,0.0048368147854672625,-0.009804354294865956,0.009804354294865956,0.1526436055791341,0.14369310813348643,0.46233774893314367
L18_H08_last_to_subject_mass,-0.00496374658875166,0.0048331216785214666,-0.009796868267273127,0.009796868267273127,0.14485182797640023,0.14705083777051195,0.48703102773826457
L16_H06_last_to_tail_mass,-0.004938965279070207,0.00480899250856832,-0.009747957787638527,0.009747957787638527,0.16047106423245175,0.16065386495358,0.48395270270270263
L19_H08_attention_sink_mass,0.00493516400309973,-0.004805291266175885,0.009740455269275614,0.009740455269275614,0.10752562843986027,0.10169390916559748,0.5360953058321479
L14_H07_last_to_anchor_mass,-0.004921328725060173,0.00479182007440116,-0.009713148799461334,0.009713148799461334,0.11451331317943736,0.09950243496660818,0.47221728307254623
L14_H07_last_to_non_anchor_mass,0.004921328725060432,-0.004791820074400897,0.009713148799461328,0.009713148799461328,0.11451331317943736,0.09950243496660818,0.5277827169274538
L18_H02_top3_attention_mass_last,-0.004917919524347853,0.004788500589496654,-0.009706420113844507,0.009706420113844507,0.07122465458271407,0.06502410997565641,0.46228218349928873
L18_H00_last_to_anchor_mass,-0.004898085480251778,0.0047691884939291065,-0.009667273974180886,0.009667273974180886,0.1233287539164639,0.11372060624168319,0.4671608285917497
L18_H00_last_to_non_anchor_mass,0.0048980854802516665,-0.004769188493929218,0.009667273974180886,0.009667273974180886,0.1233287539164639,0.11372060624168319,0.5328391714082503
L13_H05_last_to_subject_mass,0.00489493933532981,-0.004766125142294844,0.009661064477624654,0.009661064477624654,0.07824653861708775,0.07803674175084636,0.5539984886201991
L20_H01_last_to_subject_mass_norm,-0.00486929095618784,0.00474115172049877,-0.00961044267668661,0.00961044267668661,0.09391427747744902,0.07673670093102408,0.4263758001422475
L13_H07_last_to_tail_mass,-0.004824437949942966,0.0046974790565234,-0.009521917006466367,0.009521917006466367,0.09674313406989676,0.108634176027412,0.47745154694167846
L18_H11_max_attention_last,0.004823342820812687,-0.0046964127465808705,0.009519755567393557,0.009519755567393557,0.10777168463108344,0.11755863218700838,0.5106018847795164
L14_H07_last_to_subject_mass,0.004807733511590168,-0.004681214208653709,0.009488947720243876,0.009488947720243876,0.14113584023692538,0.12156063867358417,0.5326613620199147
L19_H04_attention_entropy_last,-0.004805245410393036,0.004678791583803738,-0.009484036994196775,0.009484036994196775,0.2718629766905912,0.23919595796326287,0.500544541251778
L18_H03_max_attention_last,-0.004801013348842474,0.004674670892293872,-0.009475684241136345,0.009475684241136345,0.10503619960188514,0.1108019372246293,0.4611264224751067
L19_H00_last_to_tail_mass,-0.0047803394967791,0.0046545410889691245,-0.009434880585748224,0.009434880585748224,0.05443516196070528,0.05550706753149087,0.4409117176386913
L13_H05_last_to_subject_mass_norm,-0.004772077801649674,0.004646496806869396,-0.009418574608519071,0.009418574608519071,0.1415434590417301,0.13350170106734854,0.45892603129445236
L16_H07_attention_sink_mass,-0.004739084772261818,0.004614372015097388,-0.009353456787359205,0.009353456787359205,0.18719146660757105,0.1751574301824746,0.49125400071123754
